"","Beebase","FBO_Module","FBO_DEG_Type","active_bias","sterile_bias","Entrez","D_melanogaster_Protein_ID","D_melanogaster_Gene_ID","accession","Gene_name"
"14682","GB55377","FBO  1",NA,NA,NA,NA,NA,NA,NA,NA
"14683","GB55378","FBO  6",NA,"paternal","paternal","551167","FBpp0086666","FBgn0010241","XM_006568981.1"," PREDICTED: Apis mellifera multidrug resistance protein homolog 49-like (LOC551167), transcript variant X1, mRNA"
"14684","GB55379","FBO  14",NA,NA,NA,NA,"#N/A","#N/A","XM_006569132.1"," PREDICTED: Apis mellifera histidine-rich glycoprotein-like (LOC102656824), mRNA"
"14685","GB55380","FBO  1",NA,NA,NA,"551121","FBpp0289627","FBgn0039420","XM_623517.4"," PREDICTED: Apis mellifera dipeptidase 1-like (LOC551121), transcript variant X3, mRNA"
"14686","GB55381","FBO  2","Reproductive",NA,NA,"726438","FBpp0288694","FBgn0031575","XM_006568973.1"," PREDICTED: Apis mellifera centrosomal protein of 97 kDa (Cep97), transcript variant X1, mRNA"
"14687","GB55382","FBO  4",NA,NA,NA,"550663","#N/A","#N/A","XM_623058.4"," PREDICTED: Apis mellifera putative oxidoreductase GLYR1 homolog (LOC550663), mRNA"
"14688","GB55383","FBO  4",NA,NA,NA,NA,"FBpp0292905","FBgn0043456","XM_623058.4"," PREDICTED: Apis mellifera putative oxidoreductase GLYR1 homolog (LOC550663), mRNA"
"14689","GB55384","FBO  8",NA,NA,NA,NA,"#N/A","#N/A","XM_006568966.1"," PREDICTED: Apis mellifera AF4/FMR2 family member 4-like (LOC100577139), transcript variant X4, mRNA"
"14690","GB55386","FBO  1","Sterile",NA,NA,NA,"#N/A","#N/A","XM_006568966.1"," PREDICTED: Apis mellifera AF4/FMR2 family member 4-like (LOC100577139), transcript variant X4, mRNA"
"14691","GB55387","FBO  8",NA,NA,NA,NA,"FBpp0077319","FBgn0041111","XM_006568968.1"," PREDICTED: Apis mellifera AF4/FMR2 family member 4-like (LOC100577139), transcript variant X6, mRNA"
"14692","GB55388","FBO  3","Sterile",NA,NA,"552073","FBpp0290455","FBgn0033763","XM_006568959.1"," PREDICTED: Apis mellifera glucosinolate sulphatase (LOC552073), mRNA"
"14693","GB55389","FBO  6",NA,NA,NA,"410824","FBpp0086129","FBgn0026721","XM_003251248.2"," PREDICTED: Apis mellifera fat-spondin protein (fat-spondin), transcript variant X1, mRNA"
"14694","GB55390","FBO  17",NA,NA,NA,"408668","FBpp0077263","FBgn0260817","XM_392205.5"," PREDICTED: Apis mellifera probable tyrosyl-DNA phosphodiesterase-like (LOC408668), transcript variant X3, mRNA"
"14695","GB55391","FBO  6","Sterile",NA,NA,NA,"#N/A","#N/A","XM_001120443.3"," PREDICTED: Apis mellifera UPF0670 protein CG4666-like (LOC724554), transcript variant X1, mRNA"
"14696","GB55392","FBO  6",NA,NA,NA,"724554","FBpp0070851","FBgn0029839","XM_001120443.3"," PREDICTED: Apis mellifera UPF0670 protein CG4666-like (LOC724554), transcript variant X1, mRNA"
"14697","GB55393","FBO  3",NA,NA,NA,NA,"FBpp0070852","FBgn0029838","XM_624588.4"," PREDICTED: Apis mellifera UPF0670 protein CG4666-like (LOC552211), mRNA"
"14698","GB55394","FBO  6",NA,NA,NA,NA,"#N/A","#N/A","XM_006568935.1"," PREDICTED: Apis mellifera tetraspanin 1 (Tspan1), transcript variant X2, mRNA"
"14699","GB55395","FBO  6",NA,NA,NA,"410821","FBpp0070853","FBgn0029837","XM_006568937.1"," PREDICTED: Apis mellifera tetraspanin 1 (Tspan1), transcript variant X4, mRNA"
"14700","GB55396","FBO  6",NA,NA,"European",NA,"#N/A","#N/A","XM_006568920.1"," PREDICTED: Apis mellifera uncharacterized LOC552356 (LOC552356), transcript variant X1, mRNA"
"14701","GB55397","FBO  4",NA,NA,NA,"550961","FBpp0088416","FBgn0033452","NM_001242527.1"," Apis mellifera vesicle-associated membrane protein 7 (Vamp7), mRNA"
"14702","GB55398","FBO  3",NA,NA,NA,NA,NA,NA,NA,NA
"14703","GB55399","FBO  2",NA,NA,NA,NA,"#N/A","#N/A","XM_003251245.2"," PREDICTED: Apis mellifera otopetrin-2-like (LOC410820), mRNA"
"14704","GB55400","FBO  7",NA,NA,NA,"410820","FBpp0288942","FBgn0259150","XM_003251245.2"," PREDICTED: Apis mellifera otopetrin-2-like (LOC410820), mRNA"
"14705","GB55401","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006568913.1"," PREDICTED: Apis mellifera uncharacterized LOC410819 (LOC410819), transcript variant X4, mRNA"
"14706","GB55402","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XM_006568918.1"," PREDICTED: Apis mellifera uncharacterized LOC410819 (LOC410819), transcript variant X9, mRNA"
"14707","GB55403","FBO  2",NA,NA,NA,"410819","FBpp0289692","FBgn0259994","XM_006568919.1"," PREDICTED: Apis mellifera uncharacterized LOC410819 (LOC410819), transcript variant X10, mRNA"
"14708","GB55404","FBO  1",NA,NA,NA,NA,NA,NA,NA,NA
"14709","GB55405","FBO  1",NA,NA,NA,"410818","FBpp0075711","FBgn0000625","XM_006568692.1"," PREDICTED: Apis mellifera eyegone (Eyg), transcript variant X1, mRNA"
"14710","GB55406","FBO  19",NA,NA,NA,"100576949","#N/A","#N/A","XM_006568909.1"," PREDICTED: Apis mellifera uncharacterized LOC100576949 (LOC100576949), mRNA"
"14711","GB55407","FBO  7",NA,NA,NA,NA,NA,NA,NA,NA
"14712","GB55408","FBO  2",NA,NA,NA,"408666","FBpp0074411","FBgn0030964","XM_006568908.1"," PREDICTED: Apis mellifera PDGF- and VEGF-related factor 1 (Pvf1), mRNA"
"14713","GB55409","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XR_411300.1"," PREDICTED: Apis mellifera uncharacterized LOC102653975 (LOC102653975), ncRNA"
"14714","GB55411","FBO  7",NA,NA,NA,"408664","FBpp0072450","FBgn0035142","XM_006568886.1"," PREDICTED: Apis mellifera homeodomain interacting protein kinase (hipk), transcript variant X6, mRNA"
"14715","GB55413","FBO  3",NA,NA,NA,"410816","FBpp0086957","FBgn0033762","XM_394292.5"," PREDICTED: Apis mellifera zinc transporter 9-like (LOC410816), mRNA"
"14716","GB55414","FBO  4",NA,NA,NA,"100578170","#N/A","#N/A","XM_003251238.2"," PREDICTED: Apis mellifera uncharacterized LOC100578170 (LOC100578170), transcript variant X1, mRNA"
"14717","GB55415","FBO  12",NA,NA,NA,NA,NA,NA,NA,NA
"14718","GB55416","FBO  2","Reproductive",NA,NA,NA,"FBpp0073576","FBgn0030449","XM_006568878.1"," PREDICTED: Apis mellifera ferritin 3 heavy chain homologue (Fer3HCH), mRNA"
"14719","GB55417","FBO  13",NA,NA,NA,"100577903","#N/A","#N/A","XM_006568875.1"," PREDICTED: Apis mellifera uncharacterized LOC100577903 (LOC100577903), transcript variant X2, mRNA"
"14720","GB55419","FBO  9",NA,NA,NA,"100576818","FBpp0079234","FBgn0261020","XM_003251262.2"," PREDICTED: Apis mellifera dolichyl-phosphate beta-glucosyltransferase-like (LOC100576818), mRNA"
"14721","GB55420","FBO  12",NA,NA,NA,"408672","FBpp0291025","FBgn0086378","XM_003251236.2"," PREDICTED: Apis mellifera programmed cell death protein 6-like (LOC408672), transcript variant 1, mRNA"
"14722","GB55421","FBO  5",NA,NA,NA,"410833","FBpp0081451","FBgn0037661","XM_394309.5"," PREDICTED: Apis mellifera adenosine deaminase (Ada), transcript variant X2, mRNA"
"14723","GB55422","FBO  4","Reproductive",NA,NA,"408673","#N/A","#N/A","XM_392210.5"," PREDICTED: Apis mellifera maspardin-like (LOC408673), transcript variant X3, mRNA"
"14724","GB55423","FBO  6",NA,NA,NA,"408674","#N/A","#N/A","XM_006568867.1"," PREDICTED: Apis mellifera uncharacterized MFS-type transporter C19orf28 homolog (LOC408674), mRNA"
"14725","GB55424","FBO  8",NA,NA,NA,NA,"#N/A","#N/A","NM_001246667.1"," Apis mellifera insulin-like receptor-like (InR-2), mRNA"
"14726","GB55425","FBO  14",NA,NA,NA,"725827","FBpp0083519","FBgn0013984","NM_001246667.1"," Apis mellifera insulin-like receptor-like (InR-2), mRNA"
"14727","GB55426","FBO  7",NA,NA,NA,"725893","FBpp0271930","FBgn0087007","XM_001121687.3"," PREDICTED: Apis mellifera big bang (bbg), transcript variant X1, mRNA"
"14728","GB55427","FBO  12",NA,NA,NA,"100577661","#N/A","#N/A","XM_003251233.2"," PREDICTED: Apis mellifera uncharacterized LOC100577661 (LOC100577661), transcript variant 1, mRNA"
"14729","GB55428","FBO  14",NA,NA,NA,NA,"#N/A","#N/A","XM_006568861.1"," PREDICTED: Apis mellifera uncharacterized LOC408676 (LOC408676), transcript variant X4, mRNA"
"14730","GB55429","FBO  7",NA,NA,NA,"408676","#N/A","#N/A","XM_006568859.1"," PREDICTED: Apis mellifera uncharacterized LOC408676 (LOC408676), transcript variant X2, mRNA"
"14731","GB55431","FBO  2",NA,NA,NA,"410838","FBpp0289558","FBgn0036516","XM_394314.5"," PREDICTED: Apis mellifera ubiquitin-conjugating enzyme E2 R2-like (LOC410838), transcript variant X2, mRNA"
"14732","GB55432","FBO  14",NA,"paternal","paternal","552747","FBpp0080551","FBgn0032643","XM_625122.4"," PREDICTED: Apis mellifera glucosidase 2 subunit beta-like (LOC552747), mRNA"
"14733","GB55433","FBO  6",NA,NA,NA,NA,"#N/A","#N/A","XR_411287.1"," PREDICTED: Apis mellifera uncharacterized LOC102654445 (LOC102654445), transcript variant X2, ncRNA"
"14734","GB55434","FBO  15",NA,NA,NA,"411765","FBpp0079458","FBgn0004868","XM_623194.4"," PREDICTED: Apis mellifera GDP dissociation inhibitor (Gdi), mRNA"
"14735","GB55435","FBO  7",NA,NA,NA,"100576796","#N/A","#N/A","XM_003251228.2"," PREDICTED: Apis mellifera uncharacterized LOC100576796 (LOC100576796), mRNA"
"14736","GB55436","FBO  2",NA,NA,NA,NA,NA,NA,NA,NA
"14737","GB55437","FBO  2",NA,NA,NA,NA,"#N/A","#N/A","XM_006568821.1"," PREDICTED: Apis mellifera uncharacterized LOC411906 (LOC411906), mRNA"
"14738","GB55438","FBO  2","Reproductive",NA,NA,"411906","FBpp0070146","FBgn0025639","XM_006568821.1"," PREDICTED: Apis mellifera uncharacterized LOC411906 (LOC411906), mRNA"
"14739","GB55439","FBO  5",NA,NA,NA,"725441","FBpp0087645","FBgn0010220","XM_006568818.1"," PREDICTED: Apis mellifera DEAD box protein 45A ortholog (LOC725441), mRNA"
"14740","GB55440","FBO  10",NA,NA,NA,"552183","FBpp0301765","FBgn0262468","XM_624561.4"," PREDICTED: Apis mellifera vibrator (vib), mRNA"
"14741","GB55441","FBO  6",NA,NA,NA,"409164","FBpp0086986","FBgn0050053","XM_006568813.1"," PREDICTED: Apis mellifera uncharacterized LOC409164 (LOC409164), transcript variant X1, mRNA"
"14742","GB55442","FBO  6","Sterile",NA,NA,NA,NA,NA,NA,NA
"14743","GB55443","FBO  5",NA,NA,NA,"724341","FBpp0085698","FBgn0004003","XM_006568810.1"," PREDICTED: Apis mellifera endoplasmic reticulum resident protein 29-like (LOC724341), mRNA"
"14744","GB55444","FBO  5",NA,NA,NA,"409430","FBpp0084026","FBgn0003134","XM_392943.5"," PREDICTED: Apis mellifera serine/threonine-protein phosphatase PP1-gamma catalytic subunit-like (LOC409430), transcript variant 1, mRNA"
"14745","GB55445","FBO  14",NA,NA,NA,"552311","FBpp0071187","FBgn0021767","XM_006568808.1"," PREDICTED: Apis mellifera t-box transcription factor TBX10-like (LOC552311), mRNA"
"14746","GB55446","FBO  10",NA,NA,NA,NA,NA,NA,NA,NA
"14747","GB55447","FBO  4",NA,NA,NA,NA,"FBpp0071145","FBgn0023506","XM_006569124.1"," PREDICTED: Apis mellifera uncharacterized LOC412314 (LOC412314), mRNA"
"14748","GB55448","FBO  2","Reproductive",NA,NA,"412314","#N/A","#N/A","XM_006569124.1"," PREDICTED: Apis mellifera uncharacterized LOC412314 (LOC412314), mRNA"
"14749","GB55449","FBO  2","Reproductive",NA,NA,NA,"#N/A","#N/A","XM_006568807.1"," PREDICTED: Apis mellifera uncharacterized LOC724555 (LOC724555), transcript variant X2, mRNA"
"14750","GB55450","FBO  2","Reproductive",NA,NA,NA,"#N/A","#N/A","XM_006568807.1"," PREDICTED: Apis mellifera uncharacterized LOC724555 (LOC724555), transcript variant X2, mRNA"
"14751","GB55451","FBO  3",NA,NA,NA,NA,"#N/A","#N/A","XR_411275.1"," PREDICTED: Apis mellifera uncharacterized LOC102656130 (LOC102656130), ncRNA"
"14752","GB55452","FBO  3",NA,NA,NA,"552391","#N/A","#N/A","NM_001114198.1"," Apis mellifera apolipophorin-III-like protein (A4), mRNA"
"14753","GB55453","FBO  11",NA,NA,NA,"409151","FBpp0082555","FBgn0041188","XM_392675.4"," PREDICTED: Apis mellifera uncharacterized LOC409151 (LOC409151), transcript variant X2, mRNA"
"14754","GB55454","FBO  13",NA,NA,NA,NA,"FBpp0081355","FBgn0037561","XM_006568805.1"," PREDICTED: Apis mellifera probable ATP-dependent RNA helicase DDX55 homolog (LOC102656093), mRNA"
"14755","GB55455","FBO  9",NA,NA,NA,"724792","FBpp0086110","FBgn0034223","XM_003251223.2"," PREDICTED: Apis mellifera testin-like (LOC724792), transcript variant X1, mRNA"
"14756","GB55456","FBO  13",NA,NA,NA,"726570","FBpp0073887","FBgn0030655","XM_001122298.3"," PREDICTED: Apis mellifera CWF19-like protein 2-like (LOC726570), mRNA"
"14757","GB55457","FBO  9",NA,NA,NA,"725376","FBpp0077861","FBgn0052425","XM_006568798.1"," PREDICTED: Apis mellifera uncharacterized LOC725376 (LOC725376), mRNA"
"14758","GB55459","FBO  4",NA,NA,NA,"550895","FBpp0086676","FBgn0033929","XM_006568797.1"," PREDICTED: Apis mellifera general transcription factor IIH subunit 1 (Tfb1), transcript variant X1, mRNA"
"14759","GB55460","FBO  5",NA,NA,NA,NA,"#N/A","#N/A","XM_006568796.1"," PREDICTED: Apis mellifera uncharacterized LOC552092 (LOC552092), transcript variant X4, mRNA"
"14760","GB55461","FBO  2",NA,NA,NA,"552092","FBpp0074619","FBgn0036958","XM_006568793.1"," PREDICTED: Apis mellifera uncharacterized LOC552092 (LOC552092), transcript variant X1, mRNA"
"14761","GB55463","FBO  11",NA,NA,NA,"409086","FBpp0074865","FBgn0042134","XM_392611.5"," PREDICTED: Apis mellifera uncharacterized LOC409086 (LOC409086), mRNA"
"14762","GB55464","FBO  2","Reproductive",NA,NA,"552037","FBpp0075597","FBgn0036354","XM_624417.3"," PREDICTED: Apis mellifera POC1 centriolar protein homolog B-like (LOC552037), transcript variant X2, mRNA"
"14763","GB55465","FBO  3",NA,NA,NA,"725070","FBpp0087086","FBgn0024732","XM_001120965.3"," PREDICTED: Apis mellifera DNA fragmentation factor-related protein 1 (Drep-1), mRNA"
"14764","GB55466","FBO  3",NA,NA,NA,"551891","FBpp0075935","FBgn0263241","XM_624277.4"," PREDICTED: Apis mellifera molybdenum cofactor biosynthesis protein 1 (Mocs1), transcript variant X3, mRNA"
"14765","GB55467","FBO  2",NA,NA,NA,"724734","FBpp0112373","FBgn0053481","XM_001120626.3"," PREDICTED: Apis mellifera hemicentin-1-like (LOC724734), transcript variant X1, mRNA"
"14766","GB55468","FBO  2",NA,NA,NA,"100578614","FBpp0087951","FBgn0033243","XM_003251222.2"," PREDICTED: Apis mellifera tctex1 domain-containing protein 1-like (LOC100578614), mRNA"
"14767","GB55469","FBO  20",NA,NA,NA,"724852","#N/A","#N/A","XM_006568778.1"," PREDICTED: Apis mellifera lipoma HMGIC fusion partner homolog (LOC724852), transcript variant X1, mRNA"
"14768","GB55470","FBO  1",NA,NA,NA,NA,"#N/A","#N/A","XR_411272.1"," PREDICTED: Apis mellifera uncharacterized LOC102654200 (LOC102654200), ncRNA"
"14769","GB55471","FBO  6","Sterile",NA,NA,NA,"#N/A","#N/A","XM_006568775.1"," PREDICTED: Apis mellifera uncharacterized LOC102654309 (LOC102654309), mRNA"
"14770","GB55472","FBO  15",NA,NA,NA,"410812","FBpp0081600","FBgn0003205","XM_006568777.1"," PREDICTED: Apis mellifera Ras oncogene at 85D ortholog (LOC410812), transcript variant X2, mRNA"
"14771","GB55473","FBO  4",NA,NA,NA,"725059","FBpp0289451","FBgn0040890","XM_001120955.3"," PREDICTED: Apis mellifera transmembrane protein 167 homolog (LOC725059), mRNA"
"14772","GB55474","FBO  4",NA,NA,NA,"410809","FBpp0085167","FBgn0043900","XM_006568773.1"," PREDICTED: Apis mellifera pygopus (Pygo), mRNA"
"14773","GB55475","FBO  4",NA,NA,NA,"551563","FBpp0084786","FBgn0039632","XM_623955.4"," PREDICTED: Apis mellifera cullin-5 (cul-5), transcript variant X3, mRNA"
"14774","GB55476","FBO  4",NA,NA,NA,"552620","FBpp0087535","FBgn0033463","XM_003251219.2"," PREDICTED: Apis mellifera oxysterol-binding protein-related protein 9-like (LOC552620), transcript variant X1, mRNA"
"14775","GB55477","FBO  5",NA,NA,NA,"552593","FBpp0081384","FBgn0037608","XM_624968.4"," PREDICTED: Apis mellifera mitochondrial ribosomal protein L19 (mRpL19), mRNA"
"14776","GB55478","FBO  2","Reproductive",NA,NA,"725397","FBpp0078038","FBgn0029152","XM_001121251.3"," PREDICTED: Apis mellifera makorin 1 (Mkrn1), transcript variant X1, mRNA"
"14777","GB55479","FBO  12",NA,NA,NA,"725473","#N/A","#N/A","XM_006568764.1"," PREDICTED: Apis mellifera cell division cycle protein 123 homolog (LOC725473), mRNA"
"14778","GB55480","FBO  1",NA,NA,NA,"100578899","FBpp0089047","FBgn0001991","XM_006569121.1"," PREDICTED: Apis mellifera voltage-dependent calcium channel type D subunit alpha-1-like (LOC100578899), mRNA"
"14779","GB55481","FBO  2",NA,"paternal","paternal",NA,"#N/A","#N/A","XM_006569121.1"," PREDICTED: Apis mellifera voltage-dependent calcium channel type D subunit alpha-1-like (LOC100578899), mRNA"
"14780","GB55482","FBO  4",NA,NA,NA,"413207","FBpp0086065","FBgn0010620","XM_396656.5"," PREDICTED: Apis mellifera Na(+)/H(+) exchange regulatory cofactor NHE-RF1-like (LOC413207), transcript variant X2, mRNA"
"14781","GB55483","FBO  6","Sterile",NA,NA,"409821","FBpp0290554","FBgn0005666","XM_006568755.1"," PREDICTED: Apis mellifera immunoglobulin-like and fibronectin type III domain containing 2 (IGFn3-2), mRNA"
"14782","GB55484","FBO  4","Reproductive",NA,NA,"409820","FBpp0078681","FBgn0031664","XM_006568752.1"," PREDICTED: Apis mellifera UBX domain-containing protein 7-like (LOC409820), mRNA"
"14783","GB55485","FBO  6",NA,NA,NA,"410798","#N/A","#N/A","XM_006568667.1"," PREDICTED: Apis mellifera DNA methyltransferase 3 (Dnmt3), transcript variant X16, mRNA"
"14784","GB55486","FBO  2","Reproductive",NA,NA,"410796","#N/A","#N/A","XM_006568746.1"," PREDICTED: Apis mellifera PHD finger protein 2-like (LOC410796), transcript variant X1, mRNA"
"14785","GB55487","FBO  2",NA,NA,NA,NA,"#N/A","#N/A","XM_006568746.1"," PREDICTED: Apis mellifera PHD finger protein 2-like (LOC410796), transcript variant X1, mRNA"
"14786","GB55488","FBO  8",NA,NA,NA,NA,NA,NA,NA,NA
"14787","GB55489","FBO  14",NA,NA,NA,"410795","FBpp0071468","FBgn0003748","XM_006568651.1"," PREDICTED: Apis mellifera trehalase (LOC410795), transcript variant X1, mRNA"
"14788","GB55490","FBO  6",NA,NA,NA,"410793","FBpp0292877","FBgn0032136","XM_006568740.1"," PREDICTED: Apis mellifera uncharacterized LOC410793 (LOC410793), mRNA"
"14789","GB55491","FBO  5",NA,NA,NA,"413787","#N/A","#N/A","XM_397226.5"," PREDICTED: Apis mellifera tetratricopeptide repeat protein 39B-like (LOC413787), transcript variant X2, mRNA"
"14790","GB55492","FBO  3",NA,NA,NA,"413940","FBpp0081862","FBgn0037894","XM_006568736.1"," PREDICTED: Apis mellifera importin 9 (Ipo9), transcript variant X1, mRNA"
"14791","GB55493","FBO  15",NA,NA,NA,"410132","FBpp0071123","FBgn0030035","XM_393615.5"," PREDICTED: Apis mellifera GPI transamidase component PIG-T-like (LOC410132), transcript variant 1, mRNA"
"14792","GB55494","FBO  10",NA,NA,NA,"410799","FBpp0087637","FBgn0028473","XM_394275.5"," PREDICTED: Apis mellifera nucleolar GTP-binding 1-like protein (LOC410799), transcript variant 1, mRNA"
"14793","GB55495","FBO  8",NA,NA,NA,"408653","FBpp0298334","FBgn0053653","XM_392192.4"," PREDICTED: Apis mellifera calcium activated protein for secretion (Caps), transcript variant X9, mRNA"
"14794","GB55496","FBO  15",NA,NA,NA,"408654","FBpp0084735","FBgn0039635","NM_001242513.1"," Apis mellifera pyruvate dehydrogenase (lipoamide) beta (PDHB), mRNA"
"14795","GB55497","FBO  6","Sterile",NA,NA,NA,"#N/A","#N/A","XM_006568719.1"," PREDICTED: Apis mellifera microphthalmia-associated transcription factor-like (LOC410802), transcript variant X3, mRNA"
"14796","GB55498","FBO  6",NA,NA,NA,"410802","FBpp0298329","FBgn0263112","XM_006568717.1"," PREDICTED: Apis mellifera microphthalmia-associated transcription factor-like (LOC410802), transcript variant X1, mRNA"
"14797","GB55499","FBO  6",NA,NA,NA,"551687","FBpp0078050","FBgn0037083","XM_624075.4"," PREDICTED: Apis mellifera alkaline phosphatase 4-like (LOC551687), transcript variant X3, mRNA"
"14798","GB55500","FBO  14",NA,NA,NA,NA,"#N/A","#N/A","XM_006568716.1"," PREDICTED: Apis mellifera solute carrier family 41 member 1-like (LOC551653), mRNA"
"14799","GB55501","FBO  10",NA,NA,NA,NA,"#N/A","#N/A","XM_006568716.1"," PREDICTED: Apis mellifera solute carrier family 41 member 1-like (LOC551653), mRNA"
"14800","GB55502","FBO  4",NA,NA,NA,NA,"#N/A","#N/A","XM_006568715.1"," PREDICTED: Apis mellifera solute carrier family 41 member 1-like (LOC410803), transcript variant X11, mRNA"
"14801","GB55503","FBO  16",NA,NA,NA,"410803","FBpp0112363","FBgn0053181","XM_394279.5"," PREDICTED: Apis mellifera solute carrier family 41 member 1-like (LOC410803), transcript variant X12, mRNA"
"14802","GB55504","FBO  10",NA,NA,NA,"408657","#N/A","#N/A","XM_006568701.1"," PREDICTED: Apis mellifera zinc finger protein 76-like (LOC408657), transcript variant X2, mRNA"
"14803","GB55505","FBO  3","Sterile",NA,NA,"410805","FBpp0073260","FBgn0017561","XM_394281.4"," PREDICTED: Apis mellifera uncharacterized LOC410805 (LOC410805), mRNA"
"14804","GB55506","FBO  10",NA,NA,NA,"410806","FBpp0074366","FBgn0027087","XM_623057.4"," PREDICTED: Apis mellifera histidyl-tRNA synthetase, cytoplasmic-like (LOC410806), transcript variant X2, mRNA"
"14805","GB55507","FBO  4",NA,NA,NA,"410804","#N/A","#N/A","XM_394280.4"," PREDICTED: Apis mellifera FYVE, RhoGEF and PH domain-containing protein 4-like (LOC410804), transcript variant X1, mRNA"
"14806","GB55508","FBO  11",NA,NA,NA,"408656","FBpp0099868","FBgn0039544","XM_392195.5"," PREDICTED: Apis mellifera uncharacterized LOC408656 (LOC408656), transcript variant X2, mRNA"
"14807","GB55509","FBO  6",NA,NA,NA,NA,"FBpp0075390","FBgn0036479","XM_003251232.2"," PREDICTED: Apis mellifera uncharacterized LOC100577377 (LOC100577377), mRNA"
"14808","GB55510","FBO  4","Reproductive",NA,NA,"410801","FBpp0079644","FBgn0032228","XM_394277.4"," PREDICTED: Apis mellifera cathepsin J-like (LOC410801), partial mRNA"
"14809","GB55511","FBO  4",NA,NA,NA,"726478","FBpp0077404","FBgn0031461","XM_001122210.3"," PREDICTED: Apis mellifera activin like protein at 23B-like protein (LOC726478), transcript variant 1, mRNA"
"14810","GB55512","FBO  12",NA,NA,NA,"408655","FBpp0088553","FBgn0036911","XM_392194.5"," PREDICTED: Apis mellifera Fibp protein (Fibp), transcript variant X1, mRNA"
"14811","GB55513","FBO  5",NA,NA,NA,"726419","FBpp0079198","FBgn0031988","XM_001122156.3"," PREDICTED: Apis mellifera beta-1,3-galactosyltransferase (LOC726419), mRNA"
"14812","GB55514","FBO  14",NA,NA,NA,"408652","FBpp0070171","FBgn0003638","XM_006568722.1"," PREDICTED: Apis mellifera suppressor of white-apricot (su(w[a])), mRNA"
"14813","GB55515","FBO  19","Sterile",NA,NA,"408650","FBpp0288569","FBgn0036262","XM_392190.5"," PREDICTED: Apis mellifera inositol oxygenase-like (LOC408650), mRNA"
"14814","GB55516","FBO  6",NA,NA,NA,"726375","FBpp0088172","FBgn0039914","XM_001122118.3"," PREDICTED: Apis mellifera maverick (mav), transcript variant X1, mRNA"
"14815","GB55517","FBO  9","Reproductive",NA,NA,"410000","FBpp0079543","FBgn0032197","XM_393488.5"," PREDICTED: Apis mellifera uncharacterized LOC410000 (LOC410000), transcript variant X3, mRNA"
"14816","GB55518","FBO  6",NA,NA,NA,"726304","FBpp0072449","FBgn0035140","XM_001122052.3"," PREDICTED: Apis mellifera uncharacterized protein C17orf59 homolog (LOC726304), transcript variant X1, mRNA"
"14817","GB55519","FBO  5",NA,NA,NA,NA,NA,NA,NA,NA
"14818","GB55520","FBO  6",NA,NA,NA,"410133","FBpp0088159","FBgn0024728","XM_393616.5"," PREDICTED: Apis mellifera slo-interacting protein 1 (Slip1), mRNA"
"14819","GB55521","FBO  6",NA,NA,NA,"410792","FBpp0083411","FBgn0038855","XM_006568739.1"," PREDICTED: Apis mellifera Rab GTPase activating protein (LOC410792), transcript variant X1, mRNA"
"14820","GB55522","FBO  15",NA,NA,NA,"408648","FBpp0088192","FBgn0052850","XM_006568742.1"," PREDICTED: Apis mellifera RING finger protein 11-like (LOC408648), transcript variant X2, mRNA"
"14821","GB55523","FBO  2",NA,NA,NA,"726128","FBpp0291294","FBgn0034083","XM_001121890.3"," PREDICTED: Apis mellifera leucine-rich repeats and immunoglobulin-like domains 3 (LRIG3), mRNA"
"14822","GB55525","FBO  6",NA,NA,NA,"100577927","FBpp0086393","FBgn0034073","XM_006568743.1"," PREDICTED: Apis mellifera polynucleotide 5'-hydroxyl-kinase NOL9-like (LOC100577927), transcript variant X1, mRNA"
"14823","GB55526","FBO  7","Sterile",NA,NA,NA,"#N/A","#N/A","XM_392189.5"," PREDICTED: Apis mellifera uncharacterized LOC408649 (LOC408649), transcript variant X2, mRNA"
"14824","GB55527","FBO  7","Sterile",NA,NA,"408649","FBpp0088175","FBgn0026869","XM_006568750.1"," PREDICTED: Apis mellifera uncharacterized LOC408649 (LOC408649), transcript variant X1, mRNA"
"14825","GB55528","FBO  12",NA,NA,NA,"552319","FBpp0083687","FBgn0028688","XM_006568751.1"," PREDICTED: Apis mellifera 26S proteasome non-ATPase regulatory subunit 6-like (LOC552319), mRNA"
"14826","GB55529","FBO  12",NA,NA,NA,"410130","FBpp0080671","FBgn0032704","XM_003251272.2"," PREDICTED: Apis mellifera PRA1 family protein 3-like (LOC410130), transcript variant 1, mRNA"
"14827","GB55530","FBO  6",NA,NA,NA,"725828","#N/A","#N/A","XM_001121629.3"," PREDICTED: Apis mellifera uncharacterized LOC725828 (LOC725828), transcript variant X1, mRNA"
"14828","GB55531","FBO  2",NA,NA,NA,"413208","FBpp0074387","FBgn0027335","XM_006568758.1"," PREDICTED: Apis mellifera Rab11 interacting protein (Rip11), transcript variant X1, mRNA"
"14829","GB55532","FBO  11",NA,NA,NA,"413209","FBpp0077979","FBgn0037051","XM_396658.4"," PREDICTED: Apis mellifera dnaJ homolog subfamily C member 2-like (LOC413209), transcript variant X2, mRNA"
"14830","GB55533","FBO  4","Reproductive",NA,NA,"725626","#N/A","#N/A","XM_006568761.1"," PREDICTED: Apis mellifera RNA-binding protein squid-like (LOC725626), mRNA"
